SUB,R2-ET,NSE-ET,PBIAS-ET,R2-LAI,NSE-LAI,PBIAS-LAI,R2-NPPC,NSE-NPPC,PBIAS-NPPC,LULC
5460,0.59854401,0.565061714,-1.5,0.872476715,0.872335546,0,0.889977682,0.806146845,-17.4,CNRN
5461,0.843041413,0.824520492,14.3,0.848330949,0.832323743,-1.7,0.816843323,0.775781068,28.4,ASWN
5462,0.846397486,0.845829866,1.7,0.645672738,0.638063116,-9.6,0.795417746,0.676222876,40.1,PNST
5463,0.545860938,-0.379661386,38.5,0.809764092,0.669231842,-31.9,0.881438106,0.796438016,-20.6,PSST
5464,0.751387388,0.556532712,17.3,0.793167653,0.791979063,2.4,0.692075505,0.630642618,28.9,PSST
5465,0.689660737,0.686471609,1.7,0.784159538,0.771808009,3.3,0.690524704,0.634774217,-14,SNYB
5466,0.83409633,0.817722827,-3.9,0.548242664,0.520966996,12.2,0.776015461,0.744372217,22.2,PNST
5467,0.729348542,0.711071574,2.8,0.91892896,0.893136867,-2.6,0.861817953,0.710771038,-23.7,CNRN
5468,0.773821291,0.664489798,-19.4,0.186193404,0.041372388,-10.3,0.749370761,0.638005791,32.8,URBN
5469,0.848211228,0.468806638,-32.5,0.589115934,0.385868485,-27.4,0.631959329,0.476045058,48.6,URBN
5470,0.647206564,0.593852386,-1.6,0.729797143,0.721646404,14.2,0.60414808,0.587445288,2.7,CSRN
5471,0.68962255,0.510049201,19.1,0.712287897,0.695062489,12.2,0.744198638,0.338268197,71.5,CNRN
5472,0.687891955,0.61843938,13.4,0.773487169,0.762603589,11.2,0.870055489,0.838526809,22.3,CNRN
5473,0.58246984,0.536417592,4,0.911578499,0.906021943,1.5,0.859383713,0.78404037,-14.6,CNRN
5474,0.850229935,0.841210424,6.5,0.889372896,0.677501996,-30.9,0.83638061,0.807223142,-5,PSST
5475,0.60026385,0.289104939,4.9,0.829187533,0.519116938,44.3,0.822053655,0.811558635,9.3,CSRN
5476,0.612411022,0.039205469,33.1,0.866098573,0.736111516,-27.6,0.867819678,0.814727867,-14,PSST
5477,0.741161869,0.728428035,-0.7,0.861509402,0.84419576,19,0.855368419,0.747041145,38.1,CNRN
5478,0.863966664,0.826806514,17.8,0.915762578,0.90855223,5.5,0.841106272,0.818354552,0.3,ASWN
5479,0.791146058,0.684675248,31,0.867174328,0.75934434,-20.2,0.756905453,0.319545178,78.1,PNST
5480,0.621765011,0.527185136,10.4,0.809633663,0.807819569,4.8,0.76735512,0.763647011,9.1,CNRN
5481,0.521556219,0.389611068,8.2,0.853571118,0.852651805,2,0.778333226,0.748565693,-10.5,CNRN
5482,0.805991513,0.784254169,16.3,0.914694631,0.91261658,-1.5,0.788436019,0.750004024,28.6,ASWN
5483,0.608569687,0.582983998,4.5,0.857566312,0.837043602,-13.7,0.887750769,0.783191507,-24.7,CNRN
